company_country,fatality_id,aircraft_type,nature,total_occupants,total_fatalities,departure_latitude,departure_longitude,destination_latitude,destination_longitude,crash_latitude,crash_longitude,cause,year
Colombia,19700530-1 ,Hawker Siddeley HS-748-245 Srs.,Scheduled Passenger,42,0,4.7,-74.146947,7.10086,-73.120683,22.995653,-82.407165,Cause undetermined,1970
France,19701231-0 ,Nord 262E                      ,Non Scheduled Passenger,30,30,36.7,3.215408,39.862597,4.218647,37.43,3.52,Missing,1970
Germany,19701218-0 ,MBB HFB-320 Hansa Jet          ,Ferry/positioning,2,0,53.6,9.988228,50.865917,7.142744,53.111173,4.763855,Cause undetermined,1970
India,19700829-0 ,Fokker F-27 Friendship 400     ,Scheduled Passenger,39,39,24.9,92.978742,26.106092,91.585939,25.087,93.035,Cause undetermined,1970
Israel,19700906-1 ,Boeing 707-458                 ,International Scheduled Passenger,148,1,52.3,4.763889,40.639751,-73.778925,51.4775,-0.461389,Hijack,1970
Italy,19701104-0 ,Handley Page HPR-7 Herald 203  ,Training,2,0,41.8,12.594936,41.799361,12.594936,41.799361,12.594936,Cause undetermined,1970
Mexico,19700524-0 ,Boeing 727                     ,Scheduled Passenger,79,0,20.9,-89.657672,19.436303,-99.072097,22.995653,-82.407165,Cause undetermined,1970
Philippines,19700602-0 ,Fokker F-27 Friendship 100     ,Scheduled Passenger,44,1,14.5,121.019581,10.642511,122.929617,11.548,122.746,Cause undetermined,1970
Tajikistan,19700903-0 ,Yakovlev 40                    ,Scheduled Passenger,21,21,43.1,74.477556,40.215394,69.694708,40.83,70.35,Controlled Flight Into Terrain,1970
Ukraine,19700808-1 ,Antonov 10A                    ,Scheduled Passenger,114,1,49.2,28.613889,45.052222,33.975139,47.267,28.913,Uncontained engine failure,1970
United States of America,19701228-0 ,de Havilland DH-125-1A         ,Executive,2,2,45.8,-108.542889,43.564361,-116.222861,43.643781,-116.061895,Controlled Flight Into Terrain,1970
United States of America,19701129-0 ,Fairchild C-123K Provider      ,Military,44,42,11.6,108.95,11.998153,109.219372,11.851,109.036,Controlled Flight Into Terrain,1970
United States of America,19701127-0 ,Fairchild C-123K Provider      ,Military,79,79,10.8,106.651856,12.2275,109.192778,12.149431,108.981628,Controlled Flight Into Terrain,1970
United States of America,19700702-0 ,Shorts SC.7 Skyvan 3-200       ,Cargo,2,2,40.6,-73.778925,38.852083,-77.037722,38.868124,-77.041582,Cause undetermined,1970
United States of America,19700530-0 ,Martin 4-0-4                   ,Scheduled Passenger,33,1,33.9,-84.301972,26.58659935,-81.863296508,33.6676,-84.34,Cause undetermined,1970
United States of America,19700525-1 ,Boeing 727                     ,Scheduled Passenger,74,0,42,-87.904842,40.639751,-73.778925,22.995653,-82.407165,Cause undetermined,1970
United States of America,19700427-0 ,Kaiser-Frazer AC-119G Shadow   ,Military,8,6,10.8,106.651856,10.818797,106.651856,10.81605,106.65185,Cause undetermined,1970
United States of America,19701109-0 ,de Havilland Canada DHC-6 Twin ,Scheduled Passenger,6,0,44.9,-93.216922,43.878986,-91.256711,43.878986,-91.256711,Cause undetermined,1970
United States of America,19701015-0 ,Canadian Vickers PBV-1A Canso (,Test,5,2,45.6,-89.467472,45.631194,-89.467472,45.631194,-89.467472,Icing,1970
United States of America,19701008-0 ,Lockheed C-121J Super Constella,Military,80,0,-43.5,172.532225,-77.867358,167.056572,-77.867358,167.056572,Cause undetermined,1970
United States of America,19700913-0 ,Boeing 707-331B                ,International Scheduled Passenger,0,0,50,8.543125,40.639751,-73.778925,32.106111,36.16,Hijack,1970
United States of America,19700908-0 ,McDonnell Douglas DC-9-32      ,Scheduled Passenger,94,0,42,-87.904842,38.174389,-85.736,38.174389,-85.736,Cause undetermined,1970
United States of America,19700826-1 ,Douglas C-124C Globemaster II  ,Military,7,7,47.1,-122.476475,55.2056,-162.724264,55.42,-161.9,Controlled Flight Into Terrain,1970
United States of America,19700820-0 ,McDonnell Douglas DC-9         ,Scheduled Passenger,82,0,33.6,-84.426944,32.127583,-81.202139,22.995653,-82.407165,Hijack,1970
United States of America,19700818-1 ,Howard 350                     ,Ferry/positioning,2,0,28.5,-82.4554167,25.907,-80.278389,25.907,-80.278389,Cause undetermined,1970
United States of America,19700808-0 ,Convair CV-990-30A-8 Coronado  ,Ferry/positioning,8,0,19.4,-99.072097,16.756892,-99.753586,16.76068,-99.76798,Cause undetermined,1970
United States of America,19700802-0 ,Boeing 747-121                 ,Non Scheduled Passenger,379,0,40.6,-73.778925,18.439417,-66.001833,22.995653,-82.407165,Hijack,1970
Ecuador,19711103-0 ,Douglas C-47B-1-DL (DC-3)      ,Ferry/positioning,3,3,3.5,-76.381583,4.701594,-74.146947,4.816667,-75.366667,Cause undetermined,1971
