year,key,deaths,survivors
1970,All engine powerloss,0,0.0
1970,Bird strike,0,0.0
1970,Cargo door failure,0,0.0
1970,Cargo fire/smoke,0,0.0
1970,Cause undetermined,49,466.0
1970,Centre of Gravity outside limits,0,0.0
1970,Controlled Flight Into Terrain,151,2.0
1970,Distraction in cockpit,0,0.0
1970,Ditching,0,0.0
1970,Engine separation,0,0.0
1970,Failure to follow AD and SB's,0,0.0
1970,Flightcrew  un(der)qualified,0,0.0
1970,Flightcrew incapacitation,0,0.0
1970,"Flightcrew member's alcohol, drug usage",0,0.0
1970,Forced landing on runway,0,0.0
1970,Forced landing outside airport,0,0.0
1970,Fuel starvation,0,0.0
1970,Fuselage failure,0,0.0
1970,Ground collision,0,0.0
1970,Hijack,1,608.0
1970,Icing,2,3.0
1970,Insufficient rest / fatigue,0,0.0
1970,Landing or takeoff on wrong runway,0,0.0
1970,Lightningstrike,0,0.0
1970,Locked rudders/ailerons/gustlock,0,0.0
1970,Loss of control,0,0.0
1970,Loss of situational awareness,0,0.0
1970,Low visibility,0,0.0
1970,Mid air collision,0,0.0
1970,Missing,30,0.0
1970,Navigational error,0,0.0
1970,Overloaded,0,0.0
1970,Passenger door failure,0,0.0
1970,Premature gear retraction on take-off,0,0.0
1970,Runway excursion,0,0.0
1970,Runway incursion,0,0.0
1970,Sabotage,0,0.0
1970,Shot down from the ground,0,0.0
1970,Shutdown of wrong engine,0,0.0
1970,Simulated engine failure,0,0.0
1970,Tail failure,0,0.0
1970,Tailstrike,0,0.0
1970,Thunderstorm,0,0.0
1970,Turbulence,0,0.0
1970,Uncontained engine failure,1,113.0
1970,VFR flight in IMC,0,0.0
1970,Wheel(s) up landing,0,0.0
1970,Windshear/downdraft,0,0.0
1970,Wing failure,0,0.0
1970,Wrong installation of parts,0,0.0
1970,Wrong takeoff configuration (flaps/trim),0,0.0
1971,All engine powerloss,0,0.0
1971,Bird strike,0,0.0
1971,Cargo door failure,0,0.0
1971,Cargo fire/smoke,0,0.0
1971,Cause undetermined,163,95.0
1971,Centre of Gravity outside limits,0,0.0
1971,Controlled Flight Into Terrain,16,0.0
1971,Distraction in cockpit,0,0.0
1971,Ditching,0,0.0
1971,Engine separation,0,0.0
1971,Failure to follow AD and SB's,0,0.0
1971,Flightcrew  un(der)qualified,0,0.0
1971,Flightcrew incapacitation,0,0.0
1971,"Flightcrew member's alcohol, drug usage",0,0.0
1971,Forced landing on runway,0,0.0
1971,Forced landing outside airport,0,0.0
1971,Fuel starvation,0,0.0
1971,Fuselage failure,0,0.0
1971,Ground collision,0,0.0
1971,Hijack,1,25.0
1971,Icing,0,0.0
1971,Insufficient rest / fatigue,0,0.0
1971,Landing or takeoff on wrong runway,0,0.0
1971,Lightningstrike,0,0.0
1971,Locked rudders/ailerons/gustlock,0,0.0
1971,Loss of control,10,1.0
1971,Loss of situational awareness,0,0.0
1971,Low visibility,0,0.0
1971,Mid air collision,211,0.0
