value,color
Afghanistan,#3957ff
Algeria,#d3fe14
Angola,#c9080a
Antigua and Barbuda,#fec7f8
Argentina,#0b7b3e
Armenia,#0bf0e9
Australia,#c203c8
Austria,#fd9b39
Azerbaijan,#888593
Bahamas,#906407
Bahrain,#98ba7f
Bangladesh,#fe6794
Belarus,#10b0ff
Belgium,#ac7bff
Belize,#fee7c0
Botswana,#964c63
Brazil,#1da49c
Bulgaria,#0ad811
Cambodia,#bbd9fd
Cameroon,#fe6cfe
Canada,#297192
Chile,#78579e
China,#81ffad
Colombia,#739400
Congo,#ca6949
Costa Rica,#d9bf01
Croatia,#646a58
Cuba,#d5097e
Denmark,#bb73a9
Dominican Republic,#ccf6e9
Ecuador,#9cb4b6
Egypt,#b6a7d4
Equatorial Guinea,#9e8c62
Estonia,#6e83c8
Ethiopia,#01af64
Fiji,#a71afd
France,#d4ccd1
Gabon,#fd4109
Gambia,#bf8f0e
Georgia,#2f786e
Germany,#4ed1a5
Ghana,#d8bb7d
Greece,#a54509
Guatemala,#6a9276
Guinea,#a4777a
Guinea-Bissau,#fc12c9
Guyana,#606f15
Haiti,#3cc4d9
Honduras,#f31c4e
Hong Kong,#73616f
Hungary,#f097c6
Iceland,#fc8772
India,#92a6fe
Indonesia,#875b44
Ireland,#699ab3
Israel,#94bc19
Italy,#7d5bf0
Jamaica,#d24dfe
Japan,#c85b74
Jordan,#68ff57
Kazakhstan,#b62347
Kenya,#994b91
Kuwait,#646b8c
Kyrgyzstan,#977ab4
Latvia,#d694fd
Lebanon,#c4d5b5
Lesotho,#fdc4bd
Liberia,#1cae05
Libya,#7bd972
Lithuania,#e9700a
Luxembourg,#d08f5d
Madagascar,#8bb9e1
Malawi,#fde945
Malaysia,#a29d98
Maldives,#1682fb
Malta,#9ad9e0
Mexico,#d6cafe
Mongolia,#8d8328
Morocco,#b091a7
Mozambique,#647579
Myanmar,#1f8d11
Namibia,#e7eafd
Nepal,#b9660b
Netherlands,#a4a644
New Zealand,#fec24c
Nicaragua,#b1168c
Nigeria,#188cc1
Norway,#7ab297
Pakistan,#4468ae
Panama,#c949a6
Papua New Guinea,#d48295
Paraguay,#eb6dc2
Peru,#d5b0cb
Philippines,#ff9ffb
Poland,#fdb082
Portugal,#af4d44
Romania,#a759c4
Rwanda,#a9e03a
Saudi Arabia,#0d906b
Senegal,#9ee3bd
Serbia,#5b8846
Sierra Leone,#0d8995
Singapore,#f25c58
Slovakia,#70ae4f
Slovenia,#847f74
Somalia,#9094bb
South Africa,#ffe2f1
Spain,#a67149
Sri Lanka,#936c8e
Sudan,#d04907
Sweden,#c3b8a6
Switzerland,#cef8c4
Tajikistan,#7a9293
Thailand,#fda2ab
Togo,#2ef6c5
Trinidad and Tobago,#807242
Tunisia,#cb94cc
Turkey,#b6bdd0
Turkmenistan,#b5c75d
Uganda,#fde189
Ukraine,#b7ff80
United Arab Emirates,#fa2d8e
United States of America,#839a5f
Uruguay,#28c2b5
Uzbekistan,#e5e9e1
Vanuatu,#bc79d8
Worldwide,#ffab00
Yemen,#9f20c3
Zimbabwe,#4f7a5b
