year,key,deaths,survivors
1970,"Aerial Work (Calibration, Photo) ",0,0.0
1970,Agricultural                     ,0,0.0
1970,Ambulance                        ,0,0.0
1970,Cargo                            ,2,0.0
1970,Demonstration                    ,0,0.0
1970,Executive                        ,2,0.0
1970,Ferry/positioning                ,0,12.0
1970,Fire fighting                    ,0,0.0
1970,Illegal Flight                   ,0,0.0
1970,International Scheduled Passenger,1,147.0
1970,Military                         ,134,84.0
1970,Non Scheduled Passenger          ,30,379.0
1970,Official state flight            ,0,0.0
1970,Parachuting                      ,0,0.0
1970,Passenger                        ,0,0.0
1970,Private                          ,0,0.0
1970,Scheduled Passenger              ,63,565.0
1970,Survey/research                  ,0,0.0
1970,Test                             ,2,3.0
1970,Training                         ,0,2.0
1970,Unknown                          ,0,0.0
1971,"Aerial Work (Calibration, Photo) ",0,0.0
1971,Agricultural                     ,0,0.0
1971,Ambulance                        ,0,0.0
1971,Cargo                            ,4,0.0
1971,Demonstration                    ,0,0.0
1971,Executive                        ,0,0.0
1971,Ferry/positioning                ,3,0.0
1971,Fire fighting                    ,0,0.0
1971,Illegal Flight                   ,0,0.0
1971,International Scheduled Passenger,49,0.0
1971,Military                         ,34,1.0
1971,Non Scheduled Passenger          ,0,0.0
1971,Official state flight            ,0,0.0
1971,Parachuting                      ,0,0.0
1971,Passenger                        ,0,0.0
1971,Private                          ,0,0.0
1971,Scheduled Passenger              ,307,120.0
1971,Survey/research                  ,0,0.0
1971,Test                             ,0,0.0
1971,Training                         ,0,0.0
1971,Unknown                          ,4,0.0
1972,"Aerial Work (Calibration, Photo) ",0,0.0
1972,Agricultural                     ,0,0.0
1972,Ambulance                        ,0,0.0
1972,Cargo                            ,5,2.0
1972,Demonstration                    ,0,0.0
1972,Executive                        ,3,8.0
1972,Ferry/positioning                ,10,0.0
1972,Fire fighting                    ,0,0.0
1972,Illegal Flight                   ,0,0.0
1972,International Scheduled Passenger,64,113.0
1972,Military                         ,111,8.0
1972,Non Scheduled Passenger          ,159,12.0
1972,Official state flight            ,0,0.0
1972,Parachuting                      ,0,0.0
1972,Passenger                        ,0,0.0
1972,Private                          ,0,0.0
1972,Scheduled Passenger              ,465,139.0
1972,Survey/research                  ,0,0.0
1972,Test                             ,0,0.0
1972,Training                         ,6,0.0
1972,Unknown                          ,2,0.0
1973,"Aerial Work (Calibration, Photo) ",0,0.0
1973,Agricultural                     ,0,0.0
1973,Ambulance                        ,0,0.0
1973,Cargo                            ,0,0.0
1973,Demonstration                    ,0,0.0
1973,Executive                        ,0,0.0
1973,Ferry/positioning                ,0,0.0
1973,Fire fighting                    ,0,0.0
1973,Illegal Flight                   ,0,0.0
