year,words,c
1970,feet,42
1970,runway,39
1970,approach,29
1970,plane,24
1970,captain,19
1970,airport,17
1970,left,17
1970,right,17
1970,crew,16
1970,landing,16
1970,ground,15
1970,weather,15
1970,crashed,14
1970,departed,13
1970,first,13
1970,pilot,13
1970,takeoff,13
1970,one,12
1970,struck,12
1970,two,12
1970,officer,11
1970,passengers,11
1970,demanded,10
1970,flew,10
1970,flown,10
1970,flying,10
1970,route,10
1970,altitude,9
1970,cleared,9
1970,control,9
1970,hijacked,9
1970,september,9
1970,afb,8
1970,cuba,8
1970,fire,8
1970,fog,8
1970,high,8
1970,made,8
1970,miles,8
1970,clouds,7
1970,day,7
1970,en,7
1970,engine,7
1970,four,7
1970,knots,7
1970,air,6
1970,area,6
1970,boeing,6
1970,cabin,6
1970,came,6
1970,dc,6
1970,decided,6
1970,degrees,6
1970,descent,6
1970,engines,6
1970,failed,6
1970,hijackers,6
1970,new,6
1970,reported,6
1970,shortly,6
1970,spoilers,6
1970,taken,6
1970,three,6
1970,time,6
1970,took,6
1970,visibility,6
1970,accident,5
1970,arm,5
1970,bank,5
1970,barcelona,5
1970,carrying,5
1970,caught,5
1970,contacted,5
1970,controller,5
1970,denver,5
1970,forward,5
1970,fuselage,5
1970,hijacker,5
1970,hijacking,5
1970,ils,5
1970,instrument,5
1970,international,5
1970,light,5
1970,nm,5
1970,operated,5
1970,overcast,5
1970,passenger,5
1970,short,5
1970,threshold,5
1970,trees,5
1970,turned,5
1970,zero,5
1970,beyond,4
1970,bristol,4
1970,broke,4
1970,carried,4
1970,causing,4
1970,climbed,4
1970,continued,4
1970,duration,4
1970,emergency,4
1970,end,4
1970,engineer,4
1970,entered,4
1970,farm,4
1970,fl,4
1970,fuel,4
1970,gear,4
1970,hand,4
1970,havana,4
1970,island,4
1970,later,4
1970,leaving,4
1970,less,4
1970,logan,4
1970,lost,4
1970,mile,4
1970,minutes,4
1970,msl,4
1970,near,4
1970,passed,4
1970,poor,4
1970,pressure,4
1970,proceeded,4
1970,rest,4
1970,scheduled,4
1970,separated,4
1970,side,4
1970,speed,4
1970,touched,4
1970,training,4
1970,turn,4
1970,valley,4
1970,via,4
1970,wing,4
1970,according,3
1970,advised,3
1970,alm,3
1970,also,3
1970,amman,3
1970,angle,3
1970,approached,3
1970,approximately,3
1970,attempted,3
1970,beacon,3
1970,beirut,3
1970,blew,3
1970,broken,3
1970,c,3
1970,canada,3
1970,ceiling,3
1970,collided,3
1970,command,3
1970,contact,3
1970,controls,3
1970,crewmembers,3
1970,crossed,3
1970,damage,3
1970,departure,3
1970,descend,3
1970,descended,3
1970,destination,3
1970,edinburgh,3
1970,elevation,3
1970,employee,3
1970,established,3
1970,five,3
1970,flights,3
1970,fly,3
1970,football,3
1970,front,3
1970,go,3
1970,grenade,3
1970,half,3
1970,heading,3
1970,highway,3
1970,hill,3
1970,hit,3
1970,hostages,3
1970,hundred,3
1970,immediately,3
1970,instructed,3
1970,khaled,3
1970,land,3
1970,liberation,3
1970,main,3
1970,male,3
1970,members,3
1970,men,3
1970,meters,3
1970,military,3
1970,mountain,3
1970,north,3
1970,number,3
1970,palestine,3
1970,pass,3
1970,past,3
1970,plan,3
1970,popular,3
1970,power,3
1970,radio,3
1970,released,3
1970,return,3
1970,reykjavik,3
1970,roll,3
1970,rolled,3
1970,rotation,3
1970,sabadell,3
1970,scattered,3
1970,sea,3
1970,slightly,3
1970,slope,3
1970,snow,3
1970,south,3
1970,system,3
1970,team,3
1970,thick,3
1970,thrust,3
1970,towards,3
1970,transport,3
1970,visual,3
1970,vágar,3
1970,zerqa,3
1970,abandoned,2
1970,across,2
1970,acting,2
1970,aft,2
1970,airborne,2
1970,airframe,2
1970,airlines,2
1970,airspeed,2
1970,al,2
1970,alitalia,2
1970,altimeter,2
1970,amsterdam,2
1970,approaches,2
1970,approx,2
1970,arrival,2
1970,assigned,2
1970,atlanta,2
1970,attack,2
1970,aviation,2
1970,back,2
1970,bang,2
1970,barranquilla,2
1970,bay,2
1970,became,2
1970,belly,2
1970,board,2
1970,boarded,2
1970,bounced,2
1970,cam,2
1970,caused,2
1970,chicago,2
1970,child,2
1970,circling,2
1970,city,2
1970,claimed,2
1970,clearance,2
1970,comet,2
1970,company,2
1970,conditions,2
1970,course,2
1970,crosse,2
1970,cuzco,2
1970,deck,2
1970,deg,2
1970,delta,2
1970,descending,2
1970,didnt,2
1970,distance,2
1970,diverted,2
1970,due,2
1970,eagle,2
1970,el,2
1970,empty,2
1970,enroute,2
1970,equipment,2
1970,erupted,2
1970,estimated,2
1970,extended,2
1970,f,2
1970,female,2
1970,fence,2
1970,ferry,2
1970,fi,2
1970,field,2
1970,fields,2
1970,final,2
1970,flare,2
1970,floor,2
1970,followed,2
1970,following,2
1970,forced,2
1970,georgetown,2
1970,given,2
1970,golden,2
1970,hamburg,2
1970,height,2
1970,horizontal,2
1970,huntington,2
1970,juliana,2
1970,kmh,2
1970,köln,2
1970,la,2
1970,layer,2
1970,leading,2
1970,leila,2
1970,lights,2
1970,localizer,2
1970,louisville,2
1970,loveland,2
1970,low,2
1970,maintain,2
1970,make,2
1970,marker,2
1970,martin,2
1970,menorca,2
1970,mineral,2
1970,minneapolis,2
1970,morning,2
1970,moved,2
1970,nd,2
1970,ndb,2
1970,newcastle,2
1970,nose,2
1970,occurred,2
1970,ona,2
1970,others,2
1970,overpowered,2
1970,paris,2
1970,pistol,2
1970,pitch,2
1970,planes,2
1970,plume,2
1970,point,2
1970,pounds,2
1970,preferred,2
1970,problems,2
1970,procedures,2
1970,proper,2
1970,put,2
1970,raf,2
1970,rang,2
1970,reference,2
1970,refueling,2
1970,rotating,2
1970,satellite,2
1970,scenic,2
1970,seat,2
1970,second,2
1970,seconds,2
1970,set,2
1970,seven,2
1970,severe,2
1970,silver,2
1970,six,2
1970,sliding,2
1970,slopes,2
1970,st,2
1970,stabilizer,2
1970,started,2
1970,state,2
1970,station,2
1970,steep,2
1970,stop,2
1970,stops,2
1970,subsequently,2
1970,substantial,2
1970,switched,2
1970,tail,2
1970,take,2
1970,texel,2
1970,thereafter,2
1970,told,2
1970,tons,2
1970,top,2
1970,toronto,2
1970,toward,2
1970,tower,2
1970,uneventful,2
1970,university,2
1970,use,2
1970,using,2
1970,vectors,2
1970,veered,2
1970,water,2
1970,wichita,2
1970,wingtip,2
1970,wreckage,2
1970,yaw,2
1970,york,2
1970,’,2
1970,able,1
1970,aca,1
1970,acapulco,1
1970,acc,1
1970,acceptable,1
1970,access,1
1970,accomplice,1
1970,accordingly,1
1970,accumulation,1
1970,activation,1
1970,active,1
1970,activity,1
1970,additional,1
1970,adf,1
1970,aero,1
1970,aeronautical,1
1970,aeronaves,1
1970,afterward,1
1970,ago,1
1970,agreed,1
1970,agreement,1
1970,airbus,1
1970,airlift,1
1970,airmen,1
1970,airway,1
1970,airytash,1
1970,aisle,1
1970,aka,1
1970,algeria,1
1970,algiers,1
1970,alignment,1
1970,along,1
1970,already,1
1970,although,1
1970,aluminum,1
1970,anchorage,1
1970,angles,1
1970,angudes,1
1970,another,1
1970,antarctic,1
1970,antonov,1
1970,ao,1
1970,appeared,1
1970,application,1
1970,applied,1
1970,approaching,1
1970,armed,1
1970,arming,1
1970,around,1
1970,arrive,1
1970,artcc,1
1970,asphaltcovered,1
1970,associated,1
1970,atc,1
1970,atis,1
1970,atl,1
1970,attaché,1
1970,attempt,1
1970,attitude,1
1970,automatic,1
1970,autopilot,1
1970,avenue,1
1970,avianca,1
1970,aviv,1
1970,awareness,1
1970,axis,1
1970,bad,1
1970,bah,1
1970,bahrain,1
1970,balearic,1
1970,bamboo,1
1970,bangladesh,1
1970,base,1
1970,beach,1
1970,becoming,1
1970,beech,1
1970,beforelanding,1
1970,began,1
1970,beginning,1
1970,benson,1
1970,bex,1
1970,bey,1
1970,bias,1
1970,biplane,1
1970,blast,1
1970,blowing,1
1970,blown,1
1970,boac,1
1970,boat,1
1970,bogotá,1
1970,bottle,1
1970,brandishing,1
1970,bridge,1
1970,briefed,1
1970,briefing,1
1970,bright,1
1970,british,1
1970,brought,1
1970,brush,1
1970,bucharest,1
1970,buckled,1
